name,description,maker,trademark
"Aceite Mezcla Ideal 1,5 L","Aceite Mezcla Ideal 1,5 L",,Ideal
Vino Tinto Valentin Bianchi Cabernet Sauvignon 750 Cc,Vino Tinto Valentin Bianchi Cabernet Sauvignon 750 Cc,,Bianchi
Jugo Bc La Campagnola Naranja 200 mL,Jugo Bc La Campagnola Naranja 200 mL,La Campagnola,Bc
Jugo Tutti Manzana 1 L,Jugo Tutti Manzana 1 L,Babasal,Tutti
Caramelos C&H Pera Y Mora X 200Gr,Caramelos C&H Pera Y Mora X 200Gr,,C&H
Bondiola Paladini Feteada 1 Kg,Bondiola Paladini Feteada 1 Kg,Frigorífico Paladini,Paladini
Agua Mineral Villavicencio Con Gas 500 mL,Agua Mineral Villavicencio Con Gas 500 mL,Villavicencio,Villavicencio
Aderezo Mostaza Con Miel Aleluya 200 Gr,Aderezo Mostaza Con Miel Aleluya 200 Gr,,Aleluya
Vino Finca Natalina Ugni Blanco X 750 Ml.,Vino Finca Natalina Ugni Blanco X 750 Ml.,,Finca Natalina
Huevo De Pascua Georgalos Full Mani Choc.C/Mani Gr. 45 Paq,Huevo De Pascua Georgalos Full Mani Choc.C/Mani Gr. 45 Paq.-Paq-Gr.-45,,Georgalos
Cerveza Warsteiner Dunkel 330 Cc - Six Pack,Cerveza Warsteiner Dunkel 330 Cc - Six Pack,,Warsteiner
Queso Familia Weiss Con Ciervo 140 Gr,Queso Familia Weiss Con Ciervo 140 Gr,,Familia Weiss
Chocolate Cofler Con Almendras Aireado 100 Gr,Chocolate Cofler Con Almendras Aireado 100 Gr,,Cofler
Vino Blanco Nampe Sauvignon 750 Cc,Vino Blanco Nampe Sauvignon 750 Cc,,Nampe
Leche Sancor U.A.T. Entera,Leche Sancor U.A.T. Entera,,Sancor
"Jugo Baggio Fresh Multifrutal 1,5 L","Jugo Baggio Fresh Multifrutal 1,5 L",Baggio,Baggio
Gomitas Mogul Moras 300 Gr,Gomitas Mogul Moras 300 Gr,,Mogul
Alfajor Chocoarroz Dulce De Leche X25G,Alfajor Chocoarroz Dulce De Leche X25G,Chocoarroz,Chocoarroz
Queso Tholem Tentaciones Salame De Milan 190 Gr,Queso Tholem Tentaciones Salame De Milan 190 Gr,,Sancor
chocolate MILKA Con leche,CHOCOLATE MILKA CASTAÑA X55GR,,MILKA
Vino Tinto Coliman Clásico 750 mL,Vino Tinto Coliman Clásico 750 mL,Coliman,Coliman
Vino Tinto Viniterra Malbec 750 Cc,Vino Tinto Viniterra Malbec 750 Cc,,Viniterra
Jugo Cepita Manzana Roja 1 L,Jugo Cepita Manzana Roja 1 L,Del Valle,Cepita 
Salsa Dip Poco Loco Guacamole Style X 300Grs,Salsa Dip Poco Loco Guacamole Style X 300Grs,,Poco Loco
Chocolate Cofler Con Almendras 55 Gr,Chocolate Cofler Con Almendras 55 Gr,,Cofler
Lomo Horneado Feteado L Abratto 120 Gr,Lomo Horneado Feteado L Abratto 120 Gr,,L´Abratto
Vino Tinto Nieto Senetiner Malbec Doc 750 Cc,Vino Tinto Nieto Senetiner Malbec Doc 750 Cc,,Nieto & Senetiner
Chocolate Cofler Con Almendras 55 Gr,Chocolate Cofler Con Almendras 55 Gr,,Cofler
Queso Crema Tregar X 200 Grs.,Queso Crema Tregar X 200 Grs.,,Tregar
Queso Sancor Gouda 280 Gr,Queso Sancor Gouda 280 Gr,,Sancor
Vino SAN HUBERTO,Vino San Huberto Centenario Cabernet Sauvignon-Bot-Cc.-750,,San Huberto
"Jugo Arcor Limonada en Polvo 20 g
","Jugo Arcor Limonada en Polvo 20 g
",Arcor ,Arcor 
Aderezo Ketchup Natura 250 Gr,Aderezo Ketchup Natura 250 Gr,,Natura
Queso Rallado Grana Pampeana La Serenísima 100 Gr,Queso Rallado Grana Pampeana La Serenísima 100 Gr,,La Serenisima
Cerveza Bavaria 8.6 Extreme 500 Ml,Cerveza Bavaria 8.6 Extreme 500 Ml,Bavaria,Bavaria
Cerveza Barbaroja Diabla 330 Ml,Cerveza Barbaroja Diabla 330 Ml,,Barbaroja
Mortadela Lario  100 G,Mortadela Lario  100 G,,Lario
Jugo Bc La Campagnola Pera 1 L,Jugo Bc La Campagnola Pera 1 L,La Campagnola,Bc
Yogur Bebible Tetratop Descremado Vainilla Ilolay 1 Kg,Yogur Bebible Tetratop Descremado Vainilla Ilolay 1 Kg,,Ilolay
Vino Rosado Cafayate 750 Cc,Vino Rosado Cafayate 750 Cc,,Cafayate
"Jugo Clight Pera 1 U
","Jugo Clight Pera 1 U
",Clight ,Clight 
Cerveza Quilmes Clásica 354 mL x 6,Cerveza Quilmes Clásica 354 mL x 6,Cervecería y Maltería Quilmes,Quilmes
Jugo Citric Kids Naranja - Frutilla 200 mL,Jugo Citric Kids Naranja - Frutilla 200 mL,Jugo Citric ,Jugo Citric 
Vino Viñador Del Rey Cabernet Sauvignon 750Cc,Vino Viñador Del Rey Cabernet Sauvignon 750Cc,,Esmeralda
Cerveza Patagonia Kune 710 mL,Cerveza Patagonia Kune 710 mL,Patagonia,Patagonia
Cerveza Sol Rubia 330 Ml,Cerveza Sol Rubia 330 Ml,,Sol
Queso Patagonico La Suerte Horma 1 Kg,Queso Patagonico La Suerte Horma 1 Kg,,La Suerte
Vino Tinto Trapiche Reserva Cabernet Sauvignon 750 Cc,Vino Tinto Trapiche Reserva Cabernet Sauvignon 750 Cc,,Trapiche
Cerveza Patagonia Bohemian 355 mL,Cerveza Patagonia Bohemian 355 mL,Cerveza Patagonia,Patagonia
Leche La Serenísima Junior Manzana 200 Ml,Leche La Serenísima Junior Manzana 200 Ml,,La Serenisima
Queso Pepato Produlac 1 Kg,Queso Pepato Produlac 1 Kg,La Francisca,Produlac Tandil
Bombones Ferrero Rocher Collection 77 Gr,Bombones Ferrero Rocher Collection 77 Gr,,Ferrero
Vino Tinto Norton Malbec 750 Cc,Vino Tinto Norton Malbec 750 Cc,,Norton
Vino Tinto Cruz Alta Malbec 750 Cc,Vino Tinto Cruz Alta Malbec 750 Cc,Cruz Alta,Cruz Alta
Vino Tinto Benjamín Nieto Senetiner Cabernet Sauvignon 750 Cc,Vino Tinto Benjamín Nieto Senetiner Cabernet Sauvignon 750 Cc,,Nieto
"Jugo Clight Naranja - Mango 1 U
","Jugo Clight Naranja - Mango 1 U
",Mondelēz International,Clight 
Pan Jumbo Multicereal 540 Gr,Pan Jumbo Multicereal 540 Gr,,Jumbo Mp
